REGION,SUBREGION,country,LOCATION,lat,lon,MONTH,year,DEPTH,bleaching_severity,percentage_affected,id
,,Panama (Atlantic),"Cayos Zapatilla A, Archipielago de Bocas del Toro",9.2723,-82.0065,6,2002,12m,Medium,23%,1
,,St. Croix,Cane Bay,17.684,-64.739,9,1987,8-10m,Low,30%,2
Africa,Eastern Africa,Kenya,Kenya,-3.366666667,40.48333333,3,1998,20-Feb,HIGH,70%,3
Africa,Eastern Africa,Kenya,Kisite,-4.716667,39.366667,4,2010,1.3-5m,HIGH,66%,4
Africa,Eastern Africa,Kenya,Kiunga,-1.986,41.383,4,2003,0.3-1.0m,Low,15%,5
Africa,Eastern Africa,Kenya,Malindi,-3.215,40.127,4,2003,0.3-1.0m,Low,15%,6
Africa,Eastern Africa,Kenya,Mkokoni Coral Garden,1.9614,41.30054,4,2010,3-6m,HIGH,72%,7
Africa,Eastern Africa,Kenya,Mombasa Marine Park,-3.985,39.762,4,2003,"0.3-1.0m, 12-15m",Low,15%,8
Africa,Eastern Africa,Kenya,Mpunguti,-4.692222,39.409444,4,2010,1.5-4m,HIGH,58%,9
Africa,Eastern Africa,Kenya,Shimo la Tewa,2.04296,41.24666,4,2010,1.5-4m,HIGH,52%,10
Africa,Eastern Africa,Kenya,Sii island corner,-4.666667,39.28333,4,2010,1.2-2m,HIGH,73%,11
Africa,Eastern Africa,Mozambique,"Baixo de St. Antonio, Angoche",-16.02,40.13,3,1999,3-7m,Low,2%,12
Africa,Eastern Africa,Mozambique,Bazaruto Island,-21.66666667,35.5,,1998,8-Jan,Medium,50%,13
Africa,Eastern Africa,Mozambique,"Coral Garden (Ponta da Barra), Inhambane",-23.78,35.516,3,1999,1-5m,Low,1%,14
Africa,Eastern Africa,Mozambique,"Lighthouse Reef, Inner Two-Mile Reef",-21.516,35.483,3,1999,1-3.5m,Low,1%,15
Africa,Eastern Africa,Mozambique,Mafamede Island,-16.33333333,40,,1998,7-Mar,Low,20%,16
Africa,Eastern Africa,Mozambique,"Mafamede Island, Angoche",-16.03,40.05,3,1999,3-7m,Low,2%,17
Africa,Eastern Africa,South Africa,"2 Mile Reef, Sodwana Bay",-27.526,32.688,12,2000,10-15m,Low,1%,18
Africa,Eastern Africa,South Africa,"2 Mile Reef, Sodwana Bay",-27.526,32.688,9,2001,10-15m,Low,5%,19
Africa,Eastern Africa,South Africa,"2 Mile Reef, Sodwana Bay",-27.526,32.688,3,2001,10-15m,Low,6%,20
Africa,Eastern Africa,South Africa,"5 Mile Reef, Sodwana Bay",-27.478,32.7017,12,2000,17-21m,Low,3%,21
Africa,Eastern Africa,South Africa,"5 Mile Reef, Sodwana Bay",-27.478,32.7017,3,2001,17-21m,Low,4%,22
Africa,Eastern Africa,South Africa,"5 Mile Reef, Sodwana Bay",-27.478,32.7017,9,2001,17-21m,Low,2%,23
Africa,Eastern Africa,South Africa,"7 Mile Reef, Sodwana Bay",-27.478,32.7017,12,2000,15-18m,Low,3%,24
Africa,Eastern Africa,South Africa,"7 Mile Reef, Sodwana Bay",-27.478,32.7017,3,2001,15-18m,Low,4%,25
Africa,Eastern Africa,South Africa,"7 Mile Reef, Sodwana Bay",-27.478,32.7017,9,2001,15-18m,Low,3%,26
Africa,Eastern Africa,South Africa,"Four-Mile Reef, Sodwana Bay",-27.506,32.692,3,2000,18-24m,No Bleaching,1%,27
Africa,Eastern Africa,South Africa,"Seven-Mile Reef, Sodwana Bay",-27.422,32.739,3,2000,,No Bleaching,0%,28
Africa,Eastern Africa,South Africa,"Two-Mile Reef, Sodwana Bay",-27.526,32.688,3,2000,"6-10m pinnacle, 24-27m fore reef",Low,17%,29
Africa,Eastern Africa,Tanzania,"Site 1 & 2,  Changuu, Zanzibar",-6.1203,39.1654,5,2010,5 m,Medium,28%,30
Africa,Eastern Africa,Tanzania,"Site 1, BAWE, Zanzibar",-6.1481,39.1304,5,2010,2 m,Medium,23%,31
Africa,Eastern Africa,Tanzania,"Site 2, BAWE, Zanzibar",-6.1482,39.1303,5,2010,,Medium,26%,32
